Application_ID,Customer_ID,Application_Date,Applicant_Age,Employment,Annual_Income_INR,Loan_Amount_INR,Credit_Score,Previous_Loans,Existing_Debt_INR,Loan_Term_Months,Debt_to_Income_Ratio,Interest_Rate_Pct,Loan_Purpose,Education,Branch,Approval_Status,Default_Status,Risk_Category
LOAN20001,CUST10001,05-08-2025,43,Salaried,488800,122000,626,0,320200,60,0.707,11.49,Education,Postgraduate,Kochi,Rejected,Not Applicable,High Risk
LOAN20002,CUST10002,29-07-2023,37,Salaried,23994,166000,588,1,247200,48,0.738,12.36,Personal,Graduate,Pune,Rejected,Not Applicable,High Risk
LOAN20003,CUST10003,30-05-2023,44,Self-Employed,755300,358000,659,0,268200,72,0.441,10.82,Medical,Graduate,Ahmedabad,Approved,Default,Medium Risk
LOAN20004,CUST10004,31-01-2023,53,Business Owner,1490000,364000,770,1,596500,60,0.454,7.97,Personal,Postgraduate,Kochi,Rejected,Not Applicable,Medium Risk
LOAN20005,CUST10005,03-09-2024,36,Salaried,230500,58000,676,2,89500,60,0.442,9.92,Personal,Postgraduate,Hyderabad,Rejected,Not Applicable,Medium Risk
LOAN20006,CUST10006,20-04-2025,36,Contract,467900,301000,611,1,149200,36,0.551,12.58,Home,Graduate,Kochi,Approved,No Default,High Risk
LOAN20007,CUST10007,29-10-2023,54,Salaried,525100,77000,649,1,324700,84,0.64,11.94,Business,Postgraduate,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20008,CUST10008,20-08-2025,46,Self-Employed,894400,193000,647,1,61800,60,0.116,10.27,Education,Graduate,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20009,CUST10009,14-05-2025,33,Business Owner,867400,175000,698,2,239500,72,0.314,10.26,Personal,High School,Chennai Central,Rejected,Not Applicable,Medium Risk
LOAN20010,CUST10010,31-12-2024,43,Contract,308600,78000,579,3,78500,36,0.342,13.12,Medical,Diploma,Kolkata,Approved,No Default,High Risk
LOAN20011,CUST10011,03-02-2025,33,Business Owner,671800,179000,713,0,246600,36,0.466,10.43,Personal,Graduate,Hyderabad,Approved,No Default,Medium Risk
LOAN20012,CUST10012,13-11-2024,33,Business Owner,534300,226000,570,0,192600,36,0.513,13.86,Personal,Diploma,Delhi,Approved,No Default,High Risk
LOAN20013,CUST10013,14-09-2023,40,Salaried,950400,432000,693,1,347000,36,0.525,10.81,Vehicle,Diploma,Mumbai,Approved,No Default,Medium Risk
LOAN20014,CUST10014,28-07-2025,21,Business Owner,791100,282000,709,1,114200,72,0.211,9.49,Home,Graduate,Kolkata,Approved,No Default,Medium Risk
LOAN20015,CUST10015,26-02-2023,21,Salaried,1412200,707000,768,1,507500,12,0.897,11.17,Business,Postgraduate,Hyderabad,Rejected,Not Applicable,High Risk
LOAN20016,CUST10016,09-01-2023,32,Contract,430100,85000,786,0,101200,24,0.34,8.54,Home,Graduate,Kochi,Rejected,Not Applicable,Low Risk
LOAN20017,CUST10017,05-01-2023,28,Self-Employed,461200,150000,675,1,81900,36,0.271,10.2,Personal,Postgraduate,Ahmedabad,Rejected,Not Applicable,Medium Risk
LOAN20018,CUST10018,26-04-2025,41,Business Owner,378600,170000,598,2,35300,36,0.251,12.8,Home,Graduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20019,CUST10019,24-04-2023,29,Salaried,238600,50000,639,1,114400,36,0.557,12.38,Business,Graduate,Mumbai,Rejected,Not Applicable,High Risk
LOAN20020,CUST10020,15-02-2025,24,Self-Employed,302900,92000,543,0,94900,60,0.379,12.49,Home,Graduate,Coimbatore,Rejected,Not Applicable,High Risk
LOAN20021,CUST10021,15-11-2024,53,Self-Employed,736600,188000,678,1,325900,60,0.499,12.77,Vehicle,Graduate,Ahmedabad,Approved,No Default,Medium Risk
LOAN20022,CUST10022,01-01-2025,36,Business Owner,999600,381000,667,0,493000,12,0.894,12.37,Personal,Diploma,Coimbatore,Rejected,Not Applicable,High Risk
LOAN20023,CUST10023,24-07-2023,39,Salaried,265400,243000,697,2,131000,48,0.732,11.48,Vehicle,Graduate,Bengaluru,Rejected,Not Applicable,High Risk
LOAN20024,CUST10024,24-01-2023,24,Salaried,871300,359000,675,0,323100,48,0.477,10.19,Vehicle,Graduate,Ahmedabad,Approved,No Default,Medium Risk
LOAN20025,CUST10025,07-05-2024,33,Salaried,449700,97000,658,0,133800,24,0.414,11.48,Vehicle,Diploma,Mumbai,Rejected,Not Applicable,Medium Risk
LOAN20026,CUST10026,27-08-2025,39,Salaried,608400,50000,645,2,151400,60,0.267,11.91,Education,Graduate,Delhi,Rejected,Not Applicable,High Risk
LOAN20027,CUST10027,12-11-2024,26,Contract,960000,361000,785,1,438800,60,0.539,7.93,Vehicle,Postgraduate,Kochi,Approved,No Default,Medium Risk
LOAN20028,CUST10028,10-02-2024,42,Salaried,872000,86000,688,2,268300,60,0.329,9.81,Vehicle,High School,Bengaluru,Approved,No Default,Medium Risk
LOAN20029,CUST10029,13-04-2023,32,Unemployed,180400,50000,680,0,73900,60,0.471,11.64,Personal,Diploma,Kochi,Rejected,Not Applicable,Medium Risk
LOAN20030,CUST10030,01-03-2023,35,Salaried,369700,103000,702,1,220900,12,0.904,11.23,Education,Graduate,Pune,Rejected,Not Applicable,High Risk
LOAN20031,CUST10031,27-03-2023,32,Salaried,201800,123000,667,0,43700,84,0.306,10.78,Medical,Graduate,Ahmedabad,Rejected,Not Applicable,Medium Risk
LOAN20032,CUST10032,05-02-2025,57,Business Owner,554400,288000,690,5,41900,60,0.19,8.4,Vehicle,High School,Bengaluru,Approved,No Default,Medium Risk
LOAN20033,CUST10033,07-11-2024,38,Self-Employed,585500,188000,689,0,241200,72,0.469,10.9,Home,Graduate,Mumbai,Rejected,Not Applicable,Medium Risk
LOAN20034,CUST10034,07-01-2024,27,Self-Employed,403400,118000,544,0,77900,12,0.498,13.36,Vehicle,Graduate,Kochi,Rejected,Not Applicable,High Risk
